Team Name,Boston Fleet,Montreal Victoire,New York Sirens,Toronto Sceptres,Ottawa Charge,Vancouver Goldeneyes,Seattle Torrent,Minnesota Frost
Foreman's Finest,Jamie Lee Rattray (F),Katie Tabin (D),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Julia Gosling (F),Mae Batherson (D)
Flying Vee,Abby Newhook (F) R,Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Mae Batherson (D)
Fleet Flyers,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Micah Zandee-Hart (D),Ella Shelton (D),Sarah Wozniewicz (F) R,Hannah Miller (F),Jenna Buglioni (F) R,Abby Hustler (F) R
FirstRounder,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Mikyla Grant-Mentis (F),Kendall Cooper (D) R
Firestorm,Abby Newhook (F) R,Marie-Philip Poulin (F),Olivia Knowles (D),Blayre Turnbull (F),Jocelyne Larocque (D),Sarah Nurse (F),Carly Jackson (G),Mae Batherson (D)
Fillier Instinct,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Michela Cava (F),Corinne Schroeder (G),Kendall Cooper (D) R
Ferdiebirdies,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Dayle Ross (D) R,Renata Fast (D),Emily Clark (F),Sarah Nurse (F),Lexie Adzija (F),Marlène Boissonnault (G)
Fast & Furious,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Micah Zandee-Hart (D),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Vanessa Upson (F)
Farley,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Sophie Jaques (D),Jessie Eldridge (F),Abby Hustler (F) R
Fantasy League Menace,Jill Saulnier (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sarah Nurse (F),Jenna Buglioni (F) R,Mae Batherson (D)
Fantastic eight,Jill Saulnier (F),Marie-Philip Poulin (F),Olivia Knowles (D),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Julia Gosling (F),Kendall Cooper (D) R
Fantaslay Team,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Jessie Eldridge (F),Mae Batherson (D)
Falcons ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Jessie Eldridge (F),Mae Batherson (D)
FROSTBIT FORCE,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
FROSTBIT BLUELINE,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Sophie Jaques (D),Julia Gosling (F),Abby Hustler (F) R
FASTasFast,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Megan Carter (D),Abby Hustler (F) R
Everything is H,Jill Saulnier (F),Marie-Philip Poulin (F),Kayle Osborne (G),Ella Shelton (D),Brianne Jenner (F),Sarah Nurse (F),Lily Yovetich (D),Abby Hustler (F) R
Escape Charge,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Anne Cherkowski (F) R,Natalie Spooner (F),Emily Clark (F),Ashton Bell (D),Lexie Adzija (F),Abby Hustler (F) R
Erins tean,Jill Saulnier (F),Marie-Philip Poulin (F),Micah Zandee-Hart (D),Ella Shelton (D),Emily Clark (F),Jennifer Gardiner (F),Carly Jackson (G),Alyssa Machado (F)
Emski20,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Emma Maltais (F),Emily Clark (F),Hannah Miller (F),Carly Jackson (G),Kendall Cooper (D) R
Emma’s Gals ,Jamie Lee Rattray (F),Laura Stacey (F),Maddi Wheeler (F) R,Renata Fast (D),Jocelyne Larocque (D),Hannah Miller (F),Corinne Schroeder (G),Abby Hustler (F) R
Emmalymac ,Rylind MacKinnon (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Jessie Eldridge (F),Alyssa Machado (F)
Edmonton Hawks,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sarah Nurse (F),Corinne Schroeder (G),Kendall Cooper (D) R
Eckenswiller,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Emma Maltais (F),Emily Clark (F),Claire Thompson (D),Carly Jackson (G),Abby Hustler (F) R
